Date,Calories,Carbs,Protein,Fat
2026-03-10,390.0,45.0,9.0,21.0
2026-03-10,390.0,45.0,9.0,21.0
2026-03-10,750.0,120.0,16.5,19.5
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,375.0,37.5,18.75,18.75
2026-03-11,210.0,36.0,13.5,3.0
2026-03-11,75.0,7.5,3.75,3.75
2026-03-11,3140.0,352.5,104.25,154.25
2026-03-11,75.0,7.5,3.75,3.75
2026-03-11,420.0,90.0,12.0,3.0
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,1170.0,135.0,27.0,63.0
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,405.0,49.5,13.5,15.75
2026-03-11,150.0,15.0,7.5,7.5
2026-03-11,225.0,22.5,11.25,11.25
2026-03-11,225.0,22.5,11.25,11.25
